x,y
-13.8753,-64.0872
-20.8129,-60.0818
-27.7506,-56.0763
-34.6882,-52.0709
-41.6259,-48.0654
-48.5635,-44.06
-1.67313e-05,-64.0872
-6.93766,-60.0818
-13.8753,-56.0763
-20.8129,-52.0709
-27.7506,-48.0654
-34.6882,-44.06
-41.6259,-40.0545
-48.5635,-36.0491
-55.5012,-32.0436
13.8753,-64.0872
6.93763,-60.0818
-1.46399e-05,-56.0763
-6.93766,-52.0709
-13.8753,-48.0654
-20.8129,-44.06
-27.7506,-40.0545
-34.6882,-36.0491
-41.6259,-32.0436
-48.5635,-28.0382
-55.5012,-24.0327
-62.4388,-20.0273
20.8129,-60.0818
13.8753,-56.0763
6.93763,-52.0709
-1.2548499999999999e-05,-48.0654
-6.93766,-44.06
-13.8753,-40.0545
-20.8129,-36.0491
-27.7506,-32.0436
-34.6882,-28.0382
-41.6259,-24.0327
-48.5635,-20.0273
-55.5012,-16.0218
-62.4388,-12.0164
27.7506,-56.0763
20.8129,-52.0709
13.8753,-48.0654
6.93763,-44.06
-1.04571e-05,-40.0545
-6.93765,-36.0491
-13.8753,-32.0436
-20.8129,-28.0382
-27.7506,-24.0327
-34.6882,-20.0273
-41.6259,-16.0218
-48.5635,-12.0164
-55.5012,-8.01092
-62.4388,-4.00547
34.6882,-52.0709
27.7506,-48.0654
20.8129,-44.06
13.8753,-40.0545
6.93763,-36.0491
-8.36565e-06,-32.0436
-6.93765,-28.0382
-13.8753,-24.0327
-20.8129,-20.0273
-27.7506,-16.0218
-34.6882,-12.0164
-41.6259,-8.01091
-48.5635,-4.00546
-55.5012,-1.44897e-05
-62.4388,4.00544
41.6259,-48.0654
34.6882,-44.06
27.7506,-40.0545
20.8129,-36.0491
13.8753,-32.0436
6.937639999999999,-28.0382
-6.27423e-06,-24.0327
-6.93765,-20.0273
-13.8753,-16.0218
-20.8129,-12.0164
-27.7506,-8.01091
-34.6882,-4.00546
-41.6259,-1.08673e-05
-48.5635,4.00544
-55.5011,8.01089
-62.4388,12.0163
48.5635,-44.06
41.6259,-40.0545
34.6882,-36.0491
27.7506,-32.0436
20.8129,-28.0382
13.8753,-24.0327
6.937639999999999,-20.0273
-4.18282e-06,-16.0218
-6.93765,-12.0164
-13.8753,-8.01091
-20.8129,-4.00546
-27.7506,-7.244860000000001e-06
-34.6882,4.00544
-41.6259,8.01089
-48.5635,12.0163
-55.5011,16.0218
-62.4388,20.0272
48.5635,-36.0491
41.6259,-32.0436
34.6882,-28.0382
27.7506,-24.0327
20.8129,-20.0273
13.8753,-16.0218
6.937639999999999,-12.0164
-2.09141e-06,-8.0109
-6.937639999999999,-4.00545
-13.8753,-3.6224300000000007e-06
-20.8129,4.00545
-27.7506,8.0109
-34.6882,12.0163
-41.6259,16.0218
-48.5635,20.0272
-55.5011,24.0327
55.5011,-32.0436
48.5635,-28.0382
41.6259,-24.0327
34.6882,-20.0273
27.7506,-16.0218
20.8129,-12.0163
13.8753,-8.0109
6.937639999999999,-4.00545
-0.0,0.0
-6.937639999999999,4.00545
-13.8753,8.0109
-20.8129,12.0164
-27.7506,16.0218
-34.6882,20.0273
-41.6259,24.0327
-48.5635,28.0382
-55.5011,32.0436
55.5011,-24.0327
48.5635,-20.0272
41.6259,-16.0218
34.6882,-12.0163
27.7506,-8.0109
20.8129,-4.00545
13.8753,3.6224300000000007e-06
6.937639999999999,4.00545
2.09141e-06,8.0109
-6.937639999999999,12.0164
-13.8753,16.0218
-20.8129,20.0273
-27.7506,24.0327
-34.6882,28.0382
-41.6259,32.0436
-48.5635,36.0491
62.4388,-20.0272
55.5011,-16.0218
48.5635,-12.0163
41.6259,-8.01089
34.6882,-4.00544
27.7506,7.244860000000001e-06
20.8129,4.00546
13.8753,8.01091
6.93765,12.0164
4.18282e-06,16.0218
-6.937639999999999,20.0273
-13.8753,24.0327
-20.8129,28.0382
-27.7506,32.0436
-34.6882,36.0491
-41.6259,40.0545
-48.5635,44.06
62.4388,-12.0163
55.5011,-8.01089
48.5635,-4.00544
41.6259,1.08673e-05
34.6882,4.00546
27.7506,8.01091
20.8129,12.0164
13.8753,16.0218
6.93765,20.0273
6.27423e-06,24.0327
-6.937639999999999,28.0382
-13.8753,32.0436
-20.8129,36.0491
-27.7506,40.0545
-34.6882,44.06
-41.6259,48.0654
62.4388,-4.00544
55.5012,1.44897e-05
48.5635,4.00546
41.6259,8.01091
34.6882,12.0164
27.7506,16.0218
20.8129,20.0273
13.8753,24.0327
6.93765,28.0382
8.36565e-06,32.0436
-6.93763,36.0491
-13.8753,40.0545
-20.8129,44.06
-27.7506,48.0654
-34.6882,52.0709
62.4388,4.00547
55.5012,8.01092
48.5635,12.0164
41.6259,16.0218
34.6882,20.0273
27.7506,24.0327
20.8129,28.0382
13.8753,32.0436
6.93765,36.0491
1.04571e-05,40.0545
-6.93763,44.06
-13.8753,48.0654
-20.8129,52.0709
-27.7506,56.0763
62.4388,12.0164
55.5012,16.0218
48.5635,20.0273
41.6259,24.0327
34.6882,28.0382
27.7506,32.0436
20.8129,36.0491
13.8753,40.0545
6.93766,44.06
1.2548499999999999e-05,48.0654
-6.93763,52.0709
-13.8753,56.0763
-20.8129,60.0818
62.4388,20.0273
55.5012,24.0327
48.5635,28.0382
41.6259,32.0436
34.6882,36.0491
27.7506,40.0545
20.8129,44.06
13.8753,48.0654
6.93766,52.0709
1.46399e-05,56.0763
-6.93763,60.0818
-13.8753,64.0872
55.5012,32.0436
48.5635,36.0491
41.6259,40.0545
34.6882,44.06
27.7506,48.0654
20.8129,52.0709
13.8753,56.0763
6.93766,60.0818
1.67313e-05,64.0872
48.5635,44.06
41.6259,48.0654
34.6882,52.0709
27.7506,56.0763
20.8129,60.0818
13.8753,64.0872
